"account_id","account_name","avg_wau_last_12_weeks","customer_since_date","health_summary_flag","opportunity_id","pred_point","projects_created_last_12_weeks","renewal_week","stage_name","total_active_arr","weeks_as_customer","weeks_to_renewal","weeks_with_preds_last_12_weeks"
"0012A00002DmPvMQAV","Cebu Air, Inc","1.833","2018-01-30","Green","0063q00000xpk2EAAQ","2020-05-18","1","2021-01-25","7-Closed Won","45000.0","120","36","12"
"001F000001lVivpIAC","New Relic, Inc.","0.750","2013-11-18","Not Flagged this week","0062A00000rUaxyQAC","2018-01-29","29","2018-10-08","7-Closed Won","","219","36","0"
"0012A000029UYesQAG","DM Analytics","0.333","2017-11-10","Green","0062A00000pnyCjQAI","2019-02-25","0","2019-11-04","8-Closed Lost","","68","36","3"
"0012A00002GPIWZQA5","Precise Leads, Inc.","1.583","2018-02-01","Not Flagged this week","0062A00000qkc2AQAQ","2018-05-21","138","2019-01-28","8-Closed Lost","","16","36","10"
"001F000001coWSCIA2","Sky UK Limited","0.500","2018-03-07","Yellow","0062A00000rnIwnQAE","2018-06-25","30","2019-03-04","7-Closed Won","","16","36","2"
"0012A00002DkDVmQAN","TOKIO MARINE & NICHIDO FIRE INSURANCE CO., LTD.","2.333","2018-04-01","Green","0062A00000rUMFCQA4","2018-07-23","63","2019-04-01","8-Closed Lost","","17","36","2"
"0012A00002HV7DwQAL","ROI Solutions, Inc","2.250","2018-04-30","Red","0063q00000xrLljAAE","2019-09-16","39","2020-05-25","7-Closed Won","40000.0","72","36","10"
"0010Z000023MsTAQA0","JFE STEEL CORPORATION - 2","9.250","2018-08-01","Green","0060Z00000ojh6fQAA","2018-11-19","470","2019-07-29","7-Closed Won","","16","36","12"
"0012A00002IpEjxQAF","Stamats Inc.","1.083","2018-02-01","Not Flagged this week","0062A00000qlH0lQAE","2018-05-21","72","2019-01-28","8-Closed Lost","","16","36","4"
"0012A00002BNwOnQAL","Philadelphia 76ers","1.833","2018-05-01","Not Flagged this week","0060Z00000lfBQAQA2","2018-08-20","69","2019-04-29","7-Closed Won","","16","36","4"
"0012A000022A7QJQA0","Pepper Money Ltd","1.583","2017-02-28","Green","0060Z00000r0PcRQAU","2019-06-17","41","2020-02-24","7-Closed Won","","120","36","1"
"0012A000029yHjpQAE","Toppan Inc.","3.000","2017-07-01","Green","0060Z00000lOVDEQA4","2018-10-22","134","2019-07-01","7-Closed Won","","69","36","4"
"0012A00002CjOwGQAV","TextNow, Inc.","2.333","2017-07-31","Green","0060Z00000sZXMmQAO","2019-11-18","8","2020-07-27","7-Closed Won","57060.0","120","36","12"
"0010Z000022yUwIQAU","ENEOS Corporation","2.333","2019-09-02","Green","0060Z00000uf906QAA","2019-12-23","130","2020-08-31","7-Closed Won","84000.0","16","36","9"
"0012A00002GQGAHQA5","Kin Insurance","0.500","2018-01-31","Not Flagged this week","0062A00000qk50qQAA","2018-05-21","8","2019-01-28","8-Closed Lost","","16","36","3"
"0012A00002DmuJ4QAJ","CaixaBank, S.A.","12.750","2019-02-18","Yellow","0060Z00000r06JhQAI","2019-06-10","557","2020-02-17","7-Closed Won","","16","36","12"
"0012A00002HTu7MQAT","PT SimpleFi Teknologi Indonesia (AwanTunai)","3.416","2018-01-05","Not Flagged this week","0062A00000qjOwtQAE","2018-04-23","75","2018-12-31","8-Closed Lost","","16","36","11"
"001F000001jWaWsIAK","Airbnb, Inc.","3.583","2017-04-21","Green","0060Z00000lfBFMQA2","2018-08-06","72","2019-04-15","8-Closed Lost","","68","36","3"
"0012A00002DmPvMQAV","Cebu Air, Inc","1.500","2018-01-30","Green","0060Z00000ouhEuQAI","2019-05-20","34","2020-01-27","7-Closed Won","","68","36","5"
"0012A00002GR8MZQA1","LIXIL CORPORATION","1.333","2018-03-30","Green","0062A00000rV4KTQA0","2018-07-16","760","2019-03-25","7-Closed Won","","16","36","7"
"0012A000029UEh4QAG","TOYOTA TECHNICAL DEVELOPMENT CORPORATION","0.583","2017-03-15","Green","0062A00000rUzk1QAC","2018-07-02","7","2019-03-11","7-Closed Won","","68","36","4"
"0012A000023sHGUQA2","SB C&S Corp.","3.583","2017-03-01","Green","0060Z00000r08auQAA","2019-06-17","207","2020-02-24","7-Closed Won","","120","36","12"
"0012A000029VELNQA4","FinFit, LLC","0.666","2017-06-19","None","0062A00000oGEk7QAG","2017-10-09","33","2018-06-18","7-Closed Won","","16","36","2"
"0010Z000028lwj6QAA","DBS Hong Kong","1.250","2019-10-01","Green","0060Z00000wWp3HQAS","2020-01-20","35","2020-09-28","7-Closed Won","90009.66","16","36","2"
"0012A00002KmvwjQAB","Freedom Finance Limited","1.333","2018-09-17","Green","0060Z00000nLYLcQAO","2019-01-07","10","2019-09-16","8-Closed Lost","","16","36","12"
"0012A000029UsmuQAC","AlRaedah Investment","1.000","2017-08-03","Green","0060Z00000ufxO6QAI","2019-11-18","48","2020-07-27","8-Closed Lost","64800.0","120","36","12"
"0012A000023sHGUQA2","SB C&S Corp.","2.833","2017-03-01","Green","0062A00000rmma8QAA","2018-06-18","34","2019-02-25","7-Closed Won","","68","36","12"
"0012A00002GQR7xQAH","WEST JAPAN RAILWAY COMPANY","2.166","2017-11-06","Green","0062A00000pnQxNQAU","2018-02-26","122","2018-11-05","7-Closed Won","","16","36","3"
"0012A000027qwyIQAQ","ONE Prediction A/S","1.083","2017-08-31","Not Flagged this week","0062A00000ovzM1QAI","2017-12-18","48","2018-08-27","7-Closed Won","","16","36","7"
"0012A000023qsAiQAI","Lockton Management, LLC","2.500","2018-05-01","Not Flagged this week","0060Z00000lfAuSQAU","2018-08-20","20","2019-04-29","7-Closed Won","","16","36","11"
"0012A00002F26zCQAR","M3, INC.","3.916","2018-01-31","Green","0062A00000qkVajQAE","2018-05-21","130","2019-01-28","8-Closed Lost","","16","36","3"
"0012A000029VCg0QAG","Necco","0.666","2017-05-19","None","0062A00000oFaHCQA0","2017-09-04","5","2018-05-14","7-Closed Won","","16","36","1"
"0010Z000029yhOzQAI","Honda Commtec inc.","1.250","2019-07-08","Yellow","0060Z00000sYUc5QAG","2019-10-28","25","2020-07-06","7-Closed Won","46500.0","16","36","0"
"0010Z00001wsQIXQA2","American Woodmark Corporation","1.333","2019-02-01","Grey","0060Z00000qKnSIQA0","2019-05-20","8","2020-01-27","7-Closed Won","","16","36","0"
"0012A00002KyWa6QAF","Jewelers Mutual Insurance","0.666","2018-09-30","Not Flagged this week","0060Z00000ohWihQAE","2019-01-21","14","2019-09-30","8-Closed Lost","","17","36","3"
"0010Z000023jlqWQAQ","INTAGE HOLDINGS INC.","3.750","2018-09-12","Green","0060Z00000ozZcaQAE","2018-12-31","326","2019-09-09","7-Closed Won","","16","36","10"
"001F000001lY60nIAC","PUX CORPORATION","0.833","2017-09-27","Yellow","0062A00000plXKpQAM","2018-01-15","25","2018-09-24","7-Closed Won","","16","36","4"
"0010Z00001wwUewQAE","Tokyo Century (USA) Inc.","1.083","2019-01-14","Green","0060Z00000qKlawQAC","2019-05-06","15","2020-01-13","7-Closed Won","","16","36","0"
"0012A00002Bvm1TQAR","American College of Cardiology","0.083","2017-09-05","Yellow","0062A00000ovzKAQAY","2018-04-23","0","2018-12-31","7-Closed Won","","33","36","0"
"0010Z00002Bl7JUQAZ","DMB Financial","0.000","2019-12-31","Green","0063q00000xogqfAAA","2020-04-20","0","2020-12-28","8-Closed Lost","45000.0","16","36","0"
"0010Z00001wq2DVQAY","NOMURA RESEARCH INSTITUTE, LTD. - ItoYokado/YorkMart Project","3.583","2018-07-09","Green","0063q00000vu5l5AAA","2020-03-23","1087","2020-11-30","7-Closed Won","203808.0","89","36","4"
"0012A000022DmPUQA0","Customers Bank","1.416","2017-09-30","Not Flagged this week","0062A00000plJwFQAU","2018-01-15","86","2018-09-24","7-Closed Won","","16","36","4"
"001F000001mffE8IAI","CDISCOUNT","3.583","2019-05-10","Green","0060Z00000tEHS0QAO","2019-08-26","135","2020-05-04","7-Closed Won","82687.5","16","36","11"
"0012A00002FeL2MQAV","CEESUITE PTE. LTD.","1.083","2018-04-02","Not Flagged this week","0062A00000qzxuwQAA","2018-07-23","41","2019-04-01","7-Closed Won","","16","36","4"
"0012A0000204TxBQAU","Target Corporation","0.000","2017-01-20","Red","0062A00000mACetQAG","2018-05-07","0","2019-01-14","7-Closed Won","","68","36","0"
"0012A00002DlUDRQA3","UBM ASIA TRADE FAIRS PTE. LTD.","1.416","2018-05-01","Not Flagged this week","0060Z00000lfAgGQAU","2018-08-20","10","2019-04-29","7-Closed Won","","16","36","8"
"0012A000026Zc1QQAS","OppLoans","5.750","2017-12-22","Green","0062A00000qiegVQAQ","2019-04-08","19","2019-12-16","7-Closed Won","","68","36","12"
"0012A000029VheGQAS","OGIS-RI CO.,LTD.","3.583","2017-10-06","Green","0060Z00000nLYfbQAG","2019-01-21","83","2019-09-30","7-Closed Won","","68","36","10"
"0012A00002GOnakQAD","ChildFund Australia","1.333","2018-02-28","Green","0062A00000rnAWkQAM","2018-06-18","26","2019-02-25","8-Closed Lost","","16","36","7"
"0012A000029VheGQAS","OGIS-RI CO.,LTD.","3.250","2017-10-06","Green","0060Z00000wWtjRQAS","2020-01-27","21","2020-10-05","7-Closed Won","20000.0","121","36","10"
"0012A00002BOowxQAD","InfoLegale","2.916","2017-06-01","Green","0060Z00000qKmveQAC","2019-04-22","69","2019-12-30","7-Closed Won","","99","36","12"
