is_bad,emp_title,emp_length,home_ownership,annual_inc,verification_status,pymnt_plan,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code
1,"McCune Coffee Company","1 year","RENT","26000.0","not verified","n","  557058 added on 10/15/09 > My wife and two kids are getting ready to move into a new home and we are not going to have enough extra money to get our appliances and furniutre. I plan on paying the loan back in full come tax time because i will be recieving the $8,000 tax credit for first time buyers. Thank You.","other","Moving into new home and need funds to buy appliances","253xx","WV","23.22","0.0","10/1/2001","3.0","","","11.0","0.0",5610,"80.1","22.0","f","0.0","",1
0,"Stoney Creek","7 years","MORTGAGE","130000.0","VERIFIED - income source","n","  Borrower added on 10/21/11 > Pay off existing credit card<br/>","debt_consolidation","Debt Consolidation Loan","275xx","NC","10.64","0.0","2/1/1994","1.0","81.0","","6.0","0.0",19098,"78.0","20.0","f","0.0","",1
0,"BIrd Rock Surf Shop","4 years","RENT","26400.0","not verified","n","  Borrower added on 05/08/11 > I would like to consolidate my two credit cards to one lower interest payment. In doing so I hope to organize my personal budget and prepare my self for home ownership down the line.<br/> Borrower added on 05/10/11 > I have had no problem paying my bills. I have a flawless history with all of my credit cards and have never missed a payment. I am just trying to save some money by consolidating my two cards and getting a lower rate.<br/>","debt_consolidation","Paying off Credit Cards","921xx","CA","9.14","0.0","6/1/1992","0.0","","","5.0","0.0",7414,"20.3","5.0","f","0.0","",1
0,"Fire and Life Safety America","9 years","RENT","44000.0","not verified","n","  Borrower added on 01/11/11 > 2003 Chevy Blazer 4WD<br/>","car","Blazer","240xx","VA","2.97","1.0","11/1/1997","0.0","13.0","","8.0","0.0",3646,"7.5","31.0","f","0.0","",1
0,"VERIZON WIRELESS","10+ years","MORTGAGE","95000.0","VERIFIED - income","n","","debt_consolidation","Debt Consolidation Loan","072xx","NJ","8.07","0.0","6/1/1995","3.0","","","11.0","0.0",3858,"14.8","17.0","f","0.0","",1
0,"Ron Carter Ford","2 years","MORTGAGE","132000.0","VERIFIED - income","n","","credit_card","CC REFI","775xx","TX","6.74","0.0","11/1/1997","0.0","","","6.0","0.0",11797,"22.1","15.0","f","0.0","",1
0,"united States Army","10+ years","MORTGAGE","65856.0","VERIFIED - income","n","  Borrower added on 01/06/10 > Just want to say thank you to all my current lenders.<br/>","home_improvement","Home Improvement","019xx","MA","17.49","1.0","5/1/1997","1.0","13.0","","7.0","0.0",19158,"64.7","18.0","f","0.0","",1
1,"Line-X Coatings","2 years","MORTGAGE","65000.0","VERIFIED - income","n","  Borrower added on 03/16/10 > We are a company that focuses on Residential, Commercial and Recreational coatings that will enhance our customers satisfaction. We only use the best coatings for our clients and ensure timely return to service.<br/>Provide Cost Savings<br/>Impermeable and anti-microbial surface makes floors easier to maintain. Incur lower application costs with faster cure time and reduced downtime. <br/>Enhance Your Image<br/>100% UV clear topcoats and UV stable pigmented coatings & stains provide for a rich and long lasting finish that will not fade, yellow or peel. <br/>Adhesion is Paramount to our Performance<br/>Patented technology was designed to effectively absorb into the concrete or steel substrate in order to bond both mechanically and chemically within the pores of the material. A fundamental component differentiating our us from other products, this technology allows for maximum adhesion surface area and is the cornerstone of our superior performance. <br/>Chemical Resistance<br/>Resistant to a wide range of commercial and industrial chemicals. Full resistance to Skydrol and other highly corrosive fluids. <br/>All Climate Application<br/>No limitations for minimum cure temperatures. We can be applied in temperatures as low as thirty degrees below zero. <br/>Traction<br/>Our coatings and stains can be used in higher traffic areas where traction is key. This is achieved in conjunction with a quartz or silica additive within the coating process.<br/><br/>Thank you for your consideration<br/> Borrower added on 03/17/10 > As a Regional Manager for Line-X, I travel extensively and IÌ¢åÛåªm ready to make a change. I work with 42 franchises across four states and have come to appreciate the endless possibilities of having a thin build coating as well as a thick build coating. I apologize for not having a better description of what the loan would be used for, it would go towards the following:<br/>MK Floor Grinder, 4Ì¢åÛå Hand Grinder, 7Ì¢åÛåHand Grinder, 75FT 220V Extension Cord, Jiffy Mixer, Wagner Gun, Diamond Cup Wheel Replacements for the 4Ì¢åÛå, 7Ì¢åÛå and the floor grinder. Development of our website, Direct Marketing for a 25 mile radius and a used cargo or step van that will have a vinyl wrap for mobile marketing. <br/>Please let me know if you have any further questions, I would be more than happy to answer them.<br/>Respectfully,<br/>Eric<br/>","small_business","Polyaspatric Protective Coatings","761xx","TX","7.53","0.0","7/1/1999","0.0","24.0","","4.0","0.0",0,"0.0","16.0","f","0.0","",1
0,"colorado natural meats","3 years","MORTGAGE","50000.0","VERIFIED - income","n","","debt_consolidation","lowerapr","800xx","CO","22.81","0.0","5/1/1996","0.0","","","12.0","0.0",43365,"52.9","24.0","f","0.0","",1
0,"","n/a","MORTGAGE","185000.0","VERIFIED - income","n","  Borrower added on 10/28/11 > This loan is for purchasing &quot;buy and hold&quot; rental investment properties with $25,000 of my own money already invested.  My company has a retired seasoned real estate agent with 20 years of extensive real estate experience available for consultation and an accountant and financial advisor on call for business planning and development as well as for tax planning.<br/>  <br/>The area I am investing in has seen stability and growth throughout a time where others are facing hard economic times and is seeing new businesses and jobs being created daily.  Due to many factors, buyers are few but renters are abundant which presents a wonderful investment opportunity.<br/><br/>Thank you for looking at the opportunity to invest in my loan and if you have any questions, please ask and I will promptly respond. My hours are usually from 8 a.m. - 5 p.m. but in business ownership and real estate I understand the need to be available as needed.<br/>","small_business","Small Business Loan","783xx","TX","8.9","0.0","6/1/2005","1.0","","","4.0","0.0",12232,"34.9","9.0","f","0.0","",1
0,"Consolidated Health Care Services","4 years","MORTGAGE","87000.0","not verified","n","  Borrower added on 01/05/10 > I have verified my bank at 10:55 AM 01-05-2009<br/>","credit_card","JACAUnlimited","759xx","TX","10.86","0.0","10/1/1994","3.0","29.0","","12.0","0.0",14679,"86.3","19.0","f","0.0","",1
0,"us forest horseshoe meadow hothots","9 years","RENT","60000.0","not verified","n","  Borrower added on 10/19/11 > debt consolidation<br/>","debt_consolidation","dept consolidation","936xx","CA","8.36","0.0","10/1/2004","2.0","39.0","","9.0","0.0",868,"4.5","17.0","f","0.0","",1
0,"C.E. Electronics  Inc.","8 years","RENT","30000.0","not verified","n","  Borrower added on 03/11/11 > Loan is to consolidate a student loan and two credit cards into a single monthly payment, allowing to save money for a home purchase within the next 5 years or so. I have a Bachelor's degree, and am currently working towards a Master's degree. I have a stable job which I've been at for over 8 years.<br/>","debt_consolidation","Debt Consolidation Loan","435xx","OH","27.6","0.0","12/1/1997","0.0","","","9.0","0.0",8176,"31.4","17.0","f","0.0","",1
0,"Cigna","2 years","RENT","93400.0","VERIFIED - income","n","","wedding","Lakshmi","060xx","CT","5.34","0.0","2/1/2006","1.0","32.0","","6.0","0.0",11427,"35.4","16.0","f","0.0","",1
0,"CMA Cablevision","10+ years","MORTGAGE","45000.0","VERIFIED - income source","n","  Borrower added on 08/05/11 > Pay off for credit cards<br/>null","debt_consolidation","Pay credit cards off ","890xx","NV","24.53","0.0","12/1/1999","2.0","","","20.0","0.0",9707,"36.0","37.0","f","0.0","",1
1,"American Lake Credit Union","2 years","RENT","52538.0","VERIFIED - income source","n","","debt_consolidation","Debt Consol","983xx","WA","22.43","0.0","6/1/2000","0.0","","","12.0","0.0",28604,"43.7","39.0","f","0.0","",1
0,"grand teton association","3 years","OWN","39000.0","VERIFIED - income source","n","","major_purchase","motorcycle","830xx","WY","10.28","2.0","12/1/1998","2.0","10.0","","4.0","0.0",1936,"66.8","29.0","f","0.0","",1
